Date,Open,High,Low,Close,Adj Close,Volume
2018-04-11,6977.040039,8051.950195,6791.330078,7927.729980,7927.729980,1490759969
2018-04-12,7927.729980,8237.160156,7758.799805,7899.109863,7899.109863,1171435820
2018-04-13,7898.740234,8195.339844,7841.189941,8022.509766,8022.509766,537286381
2018-04-14,8022.509766,8437.030273,8021.040039,8376.730469,8376.730469,570527804
2018-04-15,8376.730469,8430.929688,7929.240234,8079.770020,8079.770020,713471956
2018-04-16,8079.770020,8187.600098,7858.120117,7921.629883,7921.629883,580880500
2018-04-17,7921.649902,8246.570313,7908.919922,8189.959961,8189.959961,593500791
2018-04-18,8189.919922,8321.009766,8136.419922,8301.820313,8301.820313,602099034
2018-04-19,8301.820313,8945.139648,8243.490234,8877.080078,8877.080078,979994921
2018-04-20,8877.150391,9047.820313,8631.179688,8935.719727,8935.719727,829073400
2018-04-21,8935.849609,9043.980469,8788.440430,8823.360352,8823.360352,610183093
2018-04-22,8823.459961,9025.730469,8804.200195,8968.250000,8968.250000,553892335
2018-04-23,8967.860352,9741.910156,8957.679688,9655.769531,9655.769531,1276464750
2018-04-24,9657.690430,9765.230469,8757.059570,8873.620117,8873.620117,1779806222
2018-04-25,8873.570313,9315.129883,8669.379883,9282.120117,9282.120117,997427934
2018-04-26,9289.009766,9385.870117,8923.480469,8938.469727,8938.469727,758182407
2018-04-27,8938.469727,9435.900391,8892.519531,9351.469727,9351.469727,774111704
2018-04-28,9349.940430,9552.669922,9189.070313,9407.040039,9407.040039,640931911
2018-04-29,9407.349609,9459.809570,9133.599609,9248.450195,9248.450195,574099218
2018-04-30,9248.250000,9251.660156,8851.099609,9077.280273,9077.280273,669555436
2018-05-01,9077.280273,9271.620117,8993.820313,9232.190430,9232.190430,527488395
2018-05-02,9232.190430,9817.190430,9172.280273,9745.040039,9745.040039,857646889
2018-05-03,9746.259766,9785.150391,9547.209961,9699.610352,9699.610352,663887678
2018-05-04,9700.370117,9968.849609,9687.089844,9845.900391,9845.900391,679872376
2018-05-05,9846.440430,9936.959961,9441.929688,9644.919922,9644.919922,608650204
2018-05-06,9643.990234,9662.230469,9202.129883,9377.809570,9377.809570,692580062
2018-05-07,9377.080078,9472.089844,9063.070313,9196.129883,9196.129883,673924125
2018-05-08,9196.129883,9373.459961,8987.269531,9321.160156,9321.160156,625495066
2018-05-09,9321.519531,9393.950195,9017.129883,9032.219727,9032.219727,629850604
2018-05-10,9032.219727,9032.269531,8363.500000,8421.000000,8421.000000,1176888629
2018-05-12,8421.000000,8487.679688,8369.849609,8409.919922,8409.919922,127341584
