text
b'RT @WBEplantlady: Since the Senators &amp; Congressman are so worried about the 130k Trump paid we need the list of who WE (OUR TAXES) paid to\xe2\x80\xa6'
b'RT @voxdotcom: Experts say prices could rise by more than 30 cents per gallon. https://t.co/esGx94uKHq'
b'@pastormarkburns @kanyewest @DonCheadle @realDonaldTrump Why don\xe2\x80\x99t you shut the hell up. Trump is judged by what co\xe2\x80\xa6 https://t.co/YqbtPQIvDM'
"b'RT @PoliticalShort: Chula Vista school mural that depicts the bloody, severed head of President Trump on a spear will be repainted as it do\xe2\x80\xa6'"
b'Trump will scrap JCPOA and do everything he can to start a war. https://t.co/bU462tZHrk'
b'RT @realDonaldTrump: NEW BOOK - A MUST READ! \xe2\x80\x9cThe Russia Hoax - The Illicit Scheme to Clear Hillary Clinton and Frame Donald Trump\xe2\x80\x9d by the\xe2\x80\xa6'
"b'RT @kwilli1046: #Trump Highlights Deadly Knife Crime Epidemic in Khan\'s #London: \'It\'s Like a War Zone"" #LondonWarZone https://t.co/FwVoX5g\xe2\x80\xa6'"
"b""RT @nowthisnews: Trump compared this hospital to a bloody 'war zone' of stab wounds to argue against stricter gun laws https://t.co/gOIxIe4\xe2\x80\xa6"""
b'RT @TomthunkitsMind: Mueller may be moving ahead with his obstruction of justice findings sooner than later as there may not be a Trump int\xe2\x80\xa6'
b'RT @JuddLegum: Foreign countries can literally send millions of dollars to the President of the United States. And we\xe2\x80\x99ve come to simply acc\xe2\x80\xa6'
b'RT @dandrezner: What the hell?! https://t.co/lTZ9KBt7Ag https://t.co/9KLZwWplqm'
b'RT @Education4Libs: Libs are trying to tell Trump supporters they can\xe2\x80\x99t celebrate Cinco de Mayo since they are in favor of building a borde\xe2\x80\xa6'
"b'Legendary comic, Jackie Mason on the Kanye thing.\n\n""The media and Hollywood think Kanye West is crazy for supportin\xe2\x80\xa6 https://t.co/23tVVz4Dus'"
b'RT @NicolleDWallace: This is perfect: John McCain Battles Donald Trump With His Dying Breaths   via @NYTimes https://t.co/PTZbvtaWFt'
"b'RT @chrislhayes: \xe2\x80\x9cOn one day in 2014, he sold four buildings in Manhattan for $32 million, entirely in cash. That was nearly three times wh\xe2\x80\xa6'"
b'RT @NatashaBertrand: Manafort left the country and headed for Barrack\xe2\x80\x99s yacht off of the coast of Greece after news surfaced of his off-the\xe2\x80\xa6'
b'RT @OBXHippieChick: Trump properties have been housing pregnant rich Russian women for years who aim for dual citizenship for their child w\xe2\x80\xa6'
"b'RT @Techno_Fog: Judge Ellis: \n\n""If I look at the indictment, none of that information has anything to do with links or coordination between\xe2\x80\xa6'"
b'RT @RonaldKlain: The sitting President -- not a campaign -- hired a firm to find dirt on the personal lives of former WH aides?  Who paid f\xe2\x80\xa6'
b'@DesleyAndrew My word !  And Trump asked not to attend!  Jeez!'
b'RT @sharonvt75: @TeaPainUSA Rudy may be working faster than the Mueller team to bring down Trump &amp;Traitors!'
b'RT @dandrezner: What the hell?! https://t.co/lTZ9KBt7Ag https://t.co/9KLZwWplqm'
"b'RT @CHIZMAGA: Since most polls are fake, I decided to head down to the 99 Cent Store and do a poll of my own...\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\n\nI asked 312 people, do y\xe2\x80\xa6'"
"b'RT @TeaPainUSA: Trump gladly used a foreign power to swing U.S. policy in his favor, but swears he never used a foreign power to swing an e\xe2\x80\xa6'"
b'RT @NaphiSoc: .@SenJohnMcCain is approaching the end with courage and dignity\n\nHe has asked G W Bush and B H Obama to give eulogies and the\xe2\x80\xa6'
"b""Trump walks back Giuliani: 'He'll get his facts straight'\nYes he's my good friend and lawyer  he knows the facts be\xe2\x80\xa6 https://t.co/SkyTrX5v4Q"""
"b'RT @DrRanj: More #fakenews from Trump.\n\nHaving worked in that hospital, here\xe2\x80\x99s the truth:\n\n1) Yes, we have a rising knife crime problem in\xe2\x80\xa6'"
b'RT @Lrihendry: RT if you\xe2\x80\x99re sick and tired of your tax dollars being wasted trying to dig up dirt on Trump while the evidence is blatantly\xe2\x80\xa6'
b'RT @adjunctprofessr: \xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8 Read &amp; RT!\nEnough of THIS.\nThe Mueller investigation uses research financed by a top George Soros official!\n#MAGA\xe2\x80\xa6'
"b'RT @DemWrite: If you ever doubt the need for all-out resistance, keep in mind that Trump\xe2\x80\x99s \xe2\x80\x9cdemocracy\xe2\x80\x9d - if he had his way - would look lik\xe2\x80\xa6'"
"b'RT @loisbeckett: \xe2\x80\x9cI\xe2\x80\x99m impressed with the support the @NRA got from our president yesterday. It\xe2\x80\x99s amazing,\xe2\x80\x9d says Manuel Oliver, whose 17-yea\xe2\x80\xa6'"
"b""RT @Chicago1Ray: \xe2\x9a\x96FEDERAL COURT BEAT DOWN\xe2\x9a\x96\n\nU.S District judge T.S Ellis Rebukes the entire #SpclCsl investigation \n\nYou don't care about M\xe2\x80\xa6"""
"b""Trump White House accuses China of 'Orwellian nonsense' https://t.co/HVIAyKy835 https://t.co/9tTOIoXkY8"""
b'RT @mensamule1: @gr8tjude Why would President Trump go to the funeral of a traitor?  Soros might though since mccain is one of his useful i\xe2\x80\xa6'
b'RT @RealJamesWoods: The tide turns ever so slightly. This is why the courts are so vital. False accusations abetted by a rabid liberal pres\xe2\x80\xa6'
b'RT @kylegriffin1: Trump aides reportedly hired an Israeli private intelligence agency to orchestrate a \xe2\x80\x9cdirty ops\xe2\x80\x9d campaign against key ind\xe2\x80\xa6'
"b'RT @mike_Zollo: John McCain doesn\xe2\x80\x99t want President Trump to attend his funeral. What a disgusting thing to say, McCain is a bitter and jeal\xe2\x80\xa6'"
b'RT @MaxBlumenthal: I learned from 3 book tours that the NPR tote bag crowd buys a wildly disproportionate amount of books. What would the p\xe2\x80\xa6'
b'RT @newtgingrich: The questions Mueller reportedly wants to ask @potus are absurd. They are clearly a trap to establish a case for obstruct\xe2\x80\xa6'
"b'RT @RLubranicki: Trump May Be Involved In 1956 Lemonade Stand Scandal, Mueller Investigation FindsSpecial counsel\xe2\x80\x99s office has also discove\xe2\x80\xa6'"
"b'RT @jonfavs: The sick, right-wing obsession with @brhodes gets much worse: Trump aides hired an Israeli intelligence firm to dig into Ben\xe2\x80\x99s\xe2\x80\xa6'"
"b'RT @kylegriffin1: A NYT review of thousands of pages of public records, and interviews with bankers, lawyers and businessmen who have inter\xe2\x80\xa6'"
"b'RT @disolis: More than 300,000 immigrants will lose protected status and could face deportation in next 18 mths. Latest: 57 k Hondurans. #T\xe2\x80\xa6'"
b'RT @kwilli1046: Lets get this straight. Liberals pretends to be for woman rights. They hypocritically carry the banner of the #MeToo moveme\xe2\x80\xa6'
"b'RT @SethAbramson: Giuliani said Trump had to pay $420,000 to Michael Cohen on a $130,000 bill because of... ""taxes.""\n\nPlease hit me up via\xe2\x80\xa6'"
"b'RT @FoxNews: .@seanhannity: ""Don\'t be fooled by the tactics of the left - their Russia collusion obsession, their blatant hatred for @POTUS\xe2\x80\xa6'"
"b'RT @Education4Libs: According to a Reuters poll on presidential approval, the black male support for Trump has DOUBLED over the past week f\xe2\x80\xa6'"
