Date,Open,High,Low,Close,Adj  Close,Volume 
2017-10-31 02:59:59,5.5e-07,7.1e-07,4.7e-07,4.8e-07,4.8e-07,13006443.0
2017-10-31 03:59:59,4.8e-07,4.9e-07,4.3e-07,4.6e-07,4.6e-07,1570358.0
2017-10-31 04:59:59,4.6e-07,4.7e-07,4.3e-07,4.7e-07,4.7e-07,4562688.0
2017-10-31 05:59:59,4.7e-07,4.9e-07,4.3e-07,4.3e-07,4.3e-07,4514027.0
2017-10-31 06:59:59,4.7e-07,4.7e-07,4.4e-07,4.4e-07,4.4e-07,1715759.0
2017-10-31 07:59:59,4.4e-07,4.6e-07,4.4e-07,4.4e-07,4.4e-07,763307.0
2017-10-31 08:59:59,4.4e-07,4.7e-07,4.4e-07,4.7e-07,4.7e-07,1567738.0
2017-10-31 09:59:59,4.5e-07,4.8e-07,4.3e-07,4.5e-07,4.5e-07,14564739.0
2017-10-31 10:59:59,4.5e-07,4.6e-07,4.3e-07,4.6e-07,4.6e-07,1681089.0
2017-10-31 11:59:59,4.6e-07,4.6e-07,4.3e-07,4.5e-07,4.5e-07,1686318.0
2017-10-31 12:59:59,4.4e-07,4.6e-07,4.4e-07,4.6e-07,4.6e-07,4209508.0
2017-10-31 13:59:59,4.3e-07,4.6e-07,4.3e-07,4.4e-07,4.4e-07,4527541.0
2017-10-31 14:59:59,4.6e-07,4.6e-07,4.4e-07,4.5e-07,4.5e-07,2237031.0
2017-10-31 15:59:59,4.5e-07,4.6e-07,4.4e-07,4.6e-07,4.6e-07,739299.0
2017-10-31 16:59:59,4.7e-07,4.9e-07,4.6e-07,4.7e-07,4.7e-07,4746821.0
2017-10-31 17:59:59,4.6e-07,4.8e-07,4.5e-07,4.5e-07,4.5e-07,1281470.0
2017-10-31 18:59:59,4.5e-07,4.5e-07,4.4e-07,4.4e-07,4.4e-07,936942.0
2017-10-31 19:59:59,4.5e-07,4.5e-07,4.4e-07,4.4e-07,4.4e-07,648378.0
2017-10-31 20:59:59,4.5e-07,4.5e-07,4.2e-07,4.2e-07,4.2e-07,5753107.0
2017-10-31 21:59:59,4.4e-07,4.4e-07,4.1e-07,4.1e-07,4.1e-07,4994766.0
2017-10-31 22:59:59,4.2e-07,4.2e-07,4e-07,4e-07,4e-07,1687958.0
2017-10-31 23:59:59,4.1e-07,4.2e-07,4e-07,4.2e-07,4.2e-07,1530879.0
2017-11-01 00:59:59,4.1e-07,4.2e-07,4e-07,4.1e-07,4.1e-07,653448.0
2017-11-01 01:59:59,4.2e-07,4.2e-07,3.9e-07,3.9e-07,3.9e-07,1041204.0
2017-11-01 02:59:59,3.9e-07,4.2e-07,3.9e-07,4e-07,4e-07,1163301.0
2017-11-01 03:59:59,4e-07,4e-07,3.9e-07,3.9e-07,3.9e-07,1856210.0
2017-11-01 04:59:59,3.9e-07,4e-07,3.9e-07,4e-07,4e-07,572167.0
2017-11-01 05:59:59,3.9e-07,3.9e-07,3.9e-07,3.9e-07,3.9e-07,131178.0
2017-11-01 06:59:59,3.9e-07,3.9e-07,3.8e-07,3.8e-07,3.8e-07,910501.0
2017-11-01 07:59:59,3.9e-07,3.9e-07,3.8e-07,3.8e-07,3.8e-07,1103748.0
2017-11-01 08:59:59,3.8e-07,4e-07,3.8e-07,3.8e-07,3.8e-07,2048443.0
2017-11-01 09:59:59,3.8e-07,4e-07,3.7e-07,4e-07,4e-07,492392.0
2017-11-01 10:59:59,3.9e-07,3.9e-07,3.9e-07,3.9e-07,3.9e-07,79292.0
2017-11-01 11:59:59,3.9e-07,3.9e-07,3.8e-07,3.8e-07,3.8e-07,226602.0
2017-11-01 12:59:59,3.9e-07,4e-07,3.9e-07,4e-07,4e-07,370269.0
2017-11-01 13:59:59,3.8e-07,3.9e-07,3.8e-07,3.9e-07,3.9e-07,502385.0
